id_0,campus_id,northing,easting,longitude,latitude
8144,290,2727254.212,672179.8513,46.70132312,24.64994736
12032,314,2745718.425,673273.6374,46.7144111,24.81650773
27592,226,2744105.822,662480.3411,46.60746598,24.80313549
27756,226,2744175.309,662624.1597,46.60889648,24.80374751
27757,226,2744299.502,662881.2041,46.61145321,24.80484133
27758,226,2744372.615,663032.5274,46.61295839,24.80548525
30863,314,2744500.154,672425.8629,46.70587536,24.80560594
30865,314,2745466.521,670855.7338,46.69046517,24.81450599
30868,314,2744761.88,671192.7093,46.69371162,24.80810723
30891,314,2746110.4,672756.7915,46.70934766,24.82010472
30892,314,2746233.72,672975.9832,46.711531,24.82119316
36116,290,2727559.97,671087.1129,46.69056657,24.65282943
36126,290,2727510.408,671932.6985,46.69891314,24.6522878
36134,290,2727340.682,672055.1908,46.70010234,24.65074191
42899,226,2743462.888,663540.7913,46.61787871,24.7972182
45974,314,2745282.036,673204.9833,46.71367786,24.81257612
53332,226,2744031.632,663439.8193,46.61694673,24.80236346
102524,290,2727965.927,671256.0586,46.69228483,24.65647544
102622,290,2726903.432,671884.4749,46.69836265,24.64681369
124531,314,2744569.528,672569.2707,46.70730223,24.80621602
124537,314,2744637.147,672709.0498,46.70869301,24.80681065
165741,314,2745973.066,672400.3188,46.70580478,24.81890524
165749,314,2744691.909,672822.254,46.70981939,24.80729221
196847,226,2743360.894,663320.7574,46.61569071,24.79632094
196852,226,2743472.912,662551.603,46.60809707,24.79741416
196860,226,2744239.592,662757.2069,46.61021985,24.80431369
205374,314,2744484.611,671325.3059,46.69498898,24.80558937
205452,314,2745977.893,671556.4768,46.69745892,24.81904381
226305,290,2727614.901,671896.0662,46.69856406,24.6532352
226308,290,2728032.431,671798.9444,46.69765569,24.65701531
226403,283,2731274.276,665186.2148,46.63271336,24.687006
228915,283,2729181.25,664300.8912,46.62372076,24.6682054
233497,283,2732267.566,664679.5069,46.62782312,24.6960276
252183,314,2744244.056,671896.4647,46.70060809,24.80335368
252193,314,2745965.938,671125.7788,46.69319739,24.81898419
252601,290,2727123.04,672159.6619,46.70110765,24.64876546